teamName,playerMainPosition,offsides,bigChanceCreated,passes,crosses,keyPasses,bigChanceSucc,interceptions,age,shots,bigChanceFaced,fouled,finalThirdPass,thBallSucc,assists,tackles,fouls,playerName,passSucc,country,goalProp,aerialWon,errorsSum,playerId,mans,apps,countryZh,redCards,disp,appsSub,thBall,teamId,finalThirdPassSucc,yelCards,id,rate,longBall,longBallSucc,shotsOTProp,dribbledPast,mins,blocks,shotsOT,goals,clears,crossSucc,offsideWon,dribbles,unsTouches
曼城,前腰,0.04,19,50.6,1.56,3.2,0.384615,0.36,29,3.2,13,1.24,26.92,0.384615,12,1.36,1.08,德布劳内,81.6601,Belgium,0.075,0.16,0,1858,8,23,比利时,0,1.32,2,0.2,11,0.742942,1,164954,7.6536,2.56,0.727273,0.325,1.4,2001,0.04,1.04,6,0.32,0.267123,0.0,1.92,1.8
泽尼特,中锋,0.925926,12,26.8148,0.148148,2.18519,0.555556,0.222222,32,2.59259,27,0.814815,17.037,0.0,6,0.185185,0.888889,久巴,70.1657,Russia,0.285714,4.2963,0,4262,5,26,俄罗斯,0,1.48148,1,0.0,151,0.665217,0,160585,7.637778,0.592593,0.761905,0.571429,0.148148,2255,0.0,1.48148,20,0.444444,0.307692,0.0,0.518519,2.37037
多特蒙德,中锋,0.571429,5,16.25,0.0357143,0.964286,0.536585,0.142857,20,3.32143,41,0.785714,8.67857,0.0,6,0.25,0.714286,哈兰德,72.7473,Norway,0.290323,1.32143,0,42873,8,27,挪威,0,0.392857,1,0.0,66,0.646091,2,164302,7.627857,0.107143,0.5,0.537634,0.107143,2410,0.142857,1.78571,27,0.571429,0.166667,0.0357143,1.07143,1.85714
比利亚雷亚尔,中锋,0.575758,14,32.0,0.424242,1.33333,0.642857,0.454545,29,2.93939,28,1.75758,13.9394,0.421053,7,0.727273,1.33333,赫拉德·莫雷诺,69.697,Spain,0.237113,1.87879,0,873,12,30,西班牙,0,1.78788,3,0.242424,34,0.608696,3,163582,7.624243,1.75758,0.617021,0.484536,0.818182,2683,0.121212,1.42424,23,0.757576,0.4,0.0,2.15152,2.75758
尤文图斯,中锋,0.939394,5,29.9091,0.363636,1.09091,0.46,0.151515,36,5.09091,50,1.30303,13.7273,0.666667,3,0.181818,0.515152,C·罗纳尔多,82.0669,Portugal,0.172619,0.69697,1,527,8,31,葡萄牙,0,0.969697,2,0.0606061,75,0.757174,3,164765,7.610606,0.545455,0.818182,0.410714,0.363636,2803,0.0909091,2.09091,29,0.454545,0.1875,0.0606061,1.75758,1.87879
蒙彼利埃,中锋,0.633333,13,26.3,1.0,1.8,0.416667,0.133333,29,3.03333,24,1.36667,12.7,0.333333,9,0.4,1.8,德洛尔,62.4842,Algeria,0.164835,4.73333,0,7385,6,30,阿尔及利亚,0,0.766667,0,0.0333333,110,0.506562,4,162963,7.601667,1.13333,0.723404,0.406593,0.333333,2492,0.0333333,1.23333,15,1.13333,0.283019,0.0,1.03333,2.5
维特斯,前腰,0.0689655,16,43.4483,2.51724,3.24138,1.0,0.206897,27,4.27586,4,3.58621,24.8966,0.142857,9,0.931035,1.72414,坦纳内,72.381,Morocco,0.0564516,0.413793,0,3899,9,29,摩洛哥,1,1.93103,0,0.0344828,135,0.624654,7,163499,7.573103,3.03448,0.536585,0.298387,1.0,2415,0.0689655,1.27586,7,0.137931,0.308017,0.0,2.62069,2.89655
拜仁慕尼黑,后腰,0.0,9,71.0,2.18519,2.44444,0.5,1.33333,26,1.37037,2,1.59259,24.6667,0.857143,10,1.48148,0.703704,基米希,88.3151,Germany,0.108108,0.703704,0,6868,1,25,德国,0,0.740741,2,0.222222,57,0.791291,4,163920,7.572593,6.48148,0.738397,0.378378,1.59259,2197,0.185185,0.518519,4,0.666667,0.335227,0.037037,1.07407,1.51852
AC米兰,中锋,2.10526,2,27.4737,0.0526316,1.05263,0.44,0.315789,39,4.26316,25,1.31579,15.7895,0.4,2,0.263158,1.73684,伊布,72.0307,Sweden,0.185185,4.52632,1,2697,8,18,瑞典,1,0.578947,1,0.105263,77,0.643333,2,164894,7.572105,0.631579,0.75,0.481481,0.157895,1498,0.157895,2.05263,15,1.42105,0.0666667,0.0526316,0.578947,1.68421
皇家马德里,中锋,0.676471,10,35.5588,0.147059,1.11765,0.424242,0.235294,33,3.61765,33,0.735294,17.0294,0.5,9,0.235294,0.5,本泽马,84.6154,France,0.186992,0.764706,0,528,8,33,法国,0,1.14706,1,0.0588235,21,0.792746,2,164799,7.571177,1.26471,0.826923,0.447154,0.294118,2902,0.0588235,1.61765,23,0.705882,0.277778,0.0,1.14706,1.70588
那不勒斯,左边锋,0.314286,12,48.6571,0.714286,1.8,0.473684,1.05714,30,4.11429,19,1.11429,20.8571,0.6,7,0.742857,0.257143,因西涅,83.6759,Italy,0.131944,0.0571429,1,2424,11,33,意大利,1,0.971429,2,0.171429,85,0.757534,2,164483,7.562858,3.22857,0.689024,0.333333,1.68571,2872,0.0285714,1.37143,19,0.142857,0.221239,0.0,1.85714,1.8
卡迪夫,中锋,0.452381,1,24.6667,0.0714286,0.547619,0.535714,0.190476,28,2.54762,28,1.92857,12.4762,1.0,1,0.428571,1.90476,基弗·穆尔,50.5792,Wales,0.186916,10.4762,0,19810,12,40,威尔士,0,1.57143,2,0.0238095,268,0.402672,4,162775,7.562142,0.380952,0.421053,0.411215,0.142857,3420,0.0714286,1.04762,20,1.2381,0.1,0.0,0.785714,3.14286
阿斯顿维拉,左边锋,0.269231,14,38.3077,0.653846,3.11538,0.428571,0.461538,25,1.92308,7,4.23077,23.4615,1.0,10,1.19231,1.53846,格雷利什,83.3333,England,0.12,1.0,3,6157,4,24,英格兰,0,1.5,2,0.0769231,7,0.809836,6,164876,7.560385,1.15385,0.588235,0.38,0.346154,2184,0.115385,0.730769,6,0.153846,0.223684,0.0,2.5,2.11538
里昂,中锋,0.324324,20,29.9459,1.2973,2.54054,0.64,0.135135,27,2.97297,25,1.40541,16.1892,0.625,12,0.108108,0.837838,德佩,76.083,Netherlands,0.181818,0.378378,0,3991,9,33,荷兰,0,1.54054,4,0.135135,106,0.681135,4,161241,7.558379,1.13514,0.65625,0.481818,0.513514,2932,0.027027,1.43243,20,0.0810811,0.289157,0.0,2.05405,3.18919
乌德勒支,中场,0.0,9,61.84,2.0,2.48,0.5,1.84,27,1.36,2,2.32,18.96,1.0,4,2.76,1.76,马赫,79.8836,Netherlands,0.0588235,1.8,1,3990,5,25,荷兰,0,1.44,0,0.12,136,0.654008,5,163906,7.5556,4.88,0.535088,0.382353,1.04,2181,0.4,0.52,2,1.36,0.259067,0.04,1.32,1.64
多特蒙德,右边锋,0.346154,14,50.1538,0.961538,2.57692,0.5,0.615385,21,2.0,12,0.846154,26.0,0.833333,11,0.692308,0.0384615,桑乔,82.4387,England,0.153846,0.0769231,0,24955,4,24,英格兰,0,1.34615,2,0.192308,66,0.785503,0,164303,7.535385,0.807692,0.7,0.326923,0.346154,2069,0.0384615,0.653846,8,0.192308,0.238095,0.0384615,2.96154,2.76923
法兰克福,中锋,0.875,8,23.375,0.09375,0.96875,0.55,0.09375,25,3.65625,40,1.0625,10.9062,0.5,5,0.34375,0.5625,安德烈·席尔瓦,73.3957,Portugal,0.239316,2.28125,0,7485,8,32,葡萄牙,0,1.5,0,0.03125,70,0.684814,1,164083,7.510313,0.25,0.533333,0.538462,0.21875,2771,0.03125,1.96875,28,0.46875,0.25,0.0,0.8125,2.71875
拜仁慕尼黑,影子前锋,0.4375,15,43.4688,0.8125,2.90625,0.538462,0.65625,31,1.59375,13,0.6875,22.75,0.75,18,1.53125,0.6875,托马斯·穆勒,74.982,Germany,0.215686,1.59375,1,1566,3,31,德国,0,1.28125,1,0.09375,57,0.67033,0,163923,7.505625,1.1875,0.550725,0.352941,1.53125,2683,0.09375,0.5625,11,0.53125,0.27957,0.03125,0.84375,2.5
索契FC,中场,0.12,12,50.84,0.76,2.08,1.0,1.04,36,2.56,7,0.96,21.08,1.0,7,1.72,0.96,诺沃亚,74.9016,Ecuador,0.1875,0.88,0,4232,7,25,厄瓜多尔,0,1.04,0,0.16,1872,0.654649,6,160430,7.5036,3.28,0.5125,0.375,0.84,2174,0.12,0.96,12,1.44,0.179245,0.08,0.92,1.56
葡萄牙体育,前腰,0.46875,10,30.125,0.59375,1.59375,0.666667,0.75,22,2.46875,21,1.3125,11.5938,0.25,3,1.46875,1.0,佩德罗·贡萨尔维斯,75.9336,Portugal,0.291139,0.4375,1,25606,7,32,葡萄牙,1,1.375,0,0.0625,116,0.654987,4,165806,7.48625,1.3125,0.512195,0.481013,1.03125,2734,0.09375,1.1875,23,0.15625,0.287879,0.0,1.3125,2.59375
国际米兰,中锋,0.527778,10,20.4444,0.138889,1.44444,0.512821,0.0833333,28,2.66667,39,1.33333,12.0278,0.333333,11,0.305556,0.944444,卢卡库,72.5543,Belgium,0.25,1.25,0,361,7,32,比利时,0,1.36111,4,0.0555556,86,0.681293,4,165205,7.466389,0.444444,0.615385,0.5,0.222222,2887,0.0277778,1.33333,24,0.944444,0.263158,0.0,1.47222,2.58333
克罗托内,右边锋,0.571429,5,30.5,0.5,1.42857,0.5,0.214286,24,1.64286,2,1.92857,12.1429,0.75,3,0.428571,0.571429,奥纳斯,83.3724,Algeria,0.173913,0.642857,0,7340,4,14,阿尔及利亚,0,1.64286,0,0.214286,251,0.758824,1,170269,7.432857,2.28571,0.8,0.434783,0.5,1125,0.0714286,0.714286,4,0.0714286,0.205882,0.0,3.85714,2.57143
泽尼特,左后卫,0.0714286,4,56.5,1.78571,2.25,0.5,1.42857,27,1.07143,2,0.464286,19.2857,1.0,7,2.0,0.25,道格拉斯·桑托斯,85.019,Brazil,0.1,0.964286,1,5675,3,28,巴西,0,0.75,0,0.0357143,151,0.809259,2,160579,7.429643,3.67857,0.556757,0.333333,0.5,2462,0.107143,0.357143,3,1.5,0.274725,0.0714286,0.642857,1.17857
曼联,前腰,0.0810811,20,57.0811,1.10811,2.56757,0.6,0.702703,26,3.27027,20,1.40541,28.5405,0.583333,12,1.54054,1.16216,布鲁诺·费尔南德斯,78.3144,Portugal,0.14876,0.432432,0,2503,6,35,葡萄牙,0,1.0,2,0.189189,2,0.713068,6,164347,7.42946,3.83784,0.636771,0.421488,2.0,3109,0.0,1.37838,18,0.72973,0.246988,0.027027,0.621622,1.51351
萨索罗,右边锋,0.0666667,10,39.4,1.03333,1.93333,0.5,0.866667,26,3.76667,20,1.96667,19.1333,0.714286,7,1.4,1.43333,贝拉尔迪,80.4569,Italy,0.150442,0.4,0,2574,8,28,意大利,0,1.03333,2,0.166667,90,0.740418,4,164677,7.419667,2.03333,0.559633,0.362832,1.36667,2485,0.0333333,1.36667,17,1.03333,0.264957,0.0333333,1.0,1.8
布伦特福德,中锋,0.577778,10,18.8667,0.0888889,1.04444,0.72973,0.177778,25,3.0,37,2.33333,9.31111,1.0,10,0.622222,2.22222,伊万·托内,65.371,England,0.22963,3.26667,0,6333,10,44,英格兰,1,0.777778,1,0.0666667,271,0.577566,7,162598,7.413778,0.311111,0.368421,0.422222,0.311111,3862,0.111111,1.26667,31,0.822222,0.2,0.0444444,0.511111,2.42222
乌迪内斯,中场,0.0277778,20,51.0833,2.0,2.27778,0.8,0.472222,27,2.27778,5,3.47222,23.2778,0.545455,9,1.16667,0.916667,德保罗,79.7716,Argentina,0.109756,0.166667,1,807,12,36,阿根廷,2,1.55556,0,0.166667,88,0.710024,3,165311,7.406944,4.5,0.613636,0.268293,1.25,3204,0.0277778,0.611111,9,0.333333,0.274809,0.0,3.38889,2.61111
波尔图,前腰,0.0,8,54.4231,0.769231,1.65385,0.5,0.846154,26,1.38462,2,2.84615,24.3846,1.0,8,2.0,1.73077,奥塔维奥,80.5654,Brazil,0.0833333,0.692308,0,5449,2,24,巴西,0,1.15385,2,0.192308,115,0.687697,2,164417,7.402692,2.84615,0.548148,0.277778,1.5,2128,0.0769231,0.384615,3,0.307692,0.273973,0.0,1.84615,1.38462
海伦芬,后腰,0.0,7,53.7097,0.903226,1.90323,0.555556,1.12903,22,2.03226,9,1.41935,22.1935,0.25,10,1.90323,0.709677,乔伊·威尔曼,75.3153,Netherlands,0.111111,0.741935,1,64858,5,30,荷兰,0,1.19355,1,0.0322581,145,0.65407,3,163042,7.397742,6.48387,0.54918,0.365079,1.6129,2705,0.16129,0.741935,7,1.12903,0.261682,0.0,2.29032,1.25806
埃因霍温,中锋,0.59375,13,24.375,0.28125,1.125,0.387097,0.34375,22,3.53125,31,0.9375,12.9688,1.0,8,0.15625,0.3125,唐尼尔·马伦,79.6154,Netherlands,0.168142,0.25,0,42323,7,26,荷兰,0,1.46875,6,0.0625,142,0.737349,1,163531,7.397188,0.625,0.512821,0.530973,0.25,2454,0.0,1.875,19,0.3125,0.230769,0.0,1.5625,2.8125
阿尔克马尔,后腰,0.0322581,3,68.8064,0.548387,1.06452,0.75,1.35484,23,1.64516,12,0.612903,17.4194,0.0,5,2.70968,0.967742,库普梅纳斯,84.6695,Netherlands,0.294118,1.19355,1,24898,6,31,荷兰,1,0.645161,0,0.0,144,0.683333,2,164208,7.392581,5.06452,0.521595,0.470588,1.06452,2705,0.419355,0.774194,15,1.51613,0.204819,0.0967742,0.612903,1.06452
阿拉尼亚体育,前腰,0.0,4,44.4211,1.68421,1.94737,0.6,0.315789,27,3.0,5,1.68421,20.5263,0.5,2,1.52632,1.42105,巴卡塞塔斯,84.2417,Greece,0.122807,0.736842,0,12284,3,18,希腊,0,1.31579,1,0.105263,292,0.774359,5,162928,7.382632,3.52632,0.690722,0.438596,0.578947,1603,0.0,1.31579,7,0.263158,0.299065,0.0526316,1.15789,1.89474
埃因霍温,后腰,0.0344828,1,65.2069,0.0689655,0.724138,0.0,2.10345,23,0.827586,0,0.655172,15.8276,0.0,1,3.48276,1.44828,桑加雷,85.8276,Cote d'Ivoire,0.0416667,2.24138,1,10118,3,25,科特迪瓦,0,0.793103,4,0.0,142,0.779956,7,166575,7.364828,3.0,0.612676,0.166667,0.793103,2281,0.275862,0.137931,1,1.58621,0.285714,0.0344828,1.24138,1.37931
西汉姆联,后腰,0.0526316,2,42.2895,0.0263158,0.473684,0.875,1.63158,26,1.68421,8,1.13158,12.2105,0.0,1,2.05263,1.81579,托马斯·索切克,75.4823,Czech Republic,0.15625,6.15789,0,19201,6,38,捷克,1,0.552632,0,0.0,16,0.642241,7,163180,7.364211,2.21053,0.666667,0.359375,1.28947,3420,0.473684,0.605263,10,2.68421,0.111111,0.0526316,0.421053,1.10526
喀山红宝石,后腰,0.0,5,46.0357,0.0,0.785714,0.0,2.89286,25,1.25,2,1.67857,12.1429,0.0,1,2.03571,1.57143,艾比特加特,75.7176,Denmark,0.0,5.03571,1,41550,4,28,丹麦,1,0.428571,0,0.0,161,0.679412,8,160596,7.363214,3.39286,0.533708,0.257143,0.642857,2501,0.75,0.321429,0,2.35714,0.0,0.0357143,0.428571,0.607143
皇家马德里,后腰,0.117647,4,56.8529,0.147059,0.735294,0.444444,2.05882,29,1.35294,9,1.61765,12.4706,0.0,4,2.47059,1.61765,卡塞米罗,83.8593,Brazil,0.130435,2.97059,0,3259,4,32,巴西,1,0.823529,2,0.0,21,0.700472,9,164800,7.357647,4.41176,0.649351,0.23913,1.17647,2903,0.5,0.323529,6,1.58824,0.217391,0.117647,0.382353,0.882353
特拉布宗体育,前腰,0.0,3,48.7368,1.05263,1.84211,1.0,0.578947,27,2.78947,4,1.73684,17.7895,0.5,2,1.26316,1.21053,巴卡塞塔斯,86.1771,Greece,0.113208,0.842105,1,12284,4,18,希腊,0,1.10526,1,0.0526316,283,0.772189,3,170152,7.339474,2.57895,0.662162,0.415094,1.0,1627,0.210526,1.15789,6,0.421053,0.266667,0.0,1.63158,1.26316
莫斯科斯巴达,中锋,0.227273,4,19.7727,0.0909091,1.40909,0.785714,0.227273,24,3.18182,14,1.59091,10.7727,0.0,4,0.409091,1.31818,索鲍列夫,65.977,Russia,0.2,5.40909,0,19648,6,16,俄罗斯,0,1.72727,6,0.0,153,0.590717,10,160420,7.335455,0.636364,0.636364,0.3,0.227273,1520,0.0,0.954545,14,0.5,0.285714,0.0,0.636364,3.36364
本菲卡,右中场,0.137931,11,33.0,0.413793,1.48276,0.333333,0.758621,28,1.17241,12,2.34483,19.6207,0.25,5,1.31034,1.2069,拉法·席尔瓦,81.0867,Portugal,0.147059,0.448276,1,3552,4,27,葡萄牙,0,2.03448,2,0.0344828,124,0.762742,3,163890,7.334828,0.586207,0.53125,0.470588,1.13793,2193,0.137931,0.551724,5,0.241379,0.4,0.0,3.37931,2.44828
切尔西,前腰,0.111111,13,47.2778,1.66667,2.41667,0.5,0.861111,22,2.27778,6,1.22222,22.3056,0.0,5,2.08333,1.38889,梅森·芒特,86.4865,England,0.0731707,0.583333,0,24823,4,32,英格兰,0,1.13889,4,0.0,1,0.82939,2,163810,7.331388,1.61111,0.666667,0.329268,1.22222,2892,0.0555556,0.75,6,0.333333,0.352941,0.0,1.19444,1.55556
巴黎圣日耳曼,右边锋,0.296296,20,36.7778,1.77778,2.59259,0.5,0.222222,33,2.22222,6,0.962963,20.4815,0.4375,9,0.962963,0.407407,迪玛利亚,81.1682,Argentina,0.0666667,0.037037,0,538,5,23,阿根廷,0,0.814815,4,0.259259,95,0.730561,1,163693,7.329629,2.07407,0.666667,0.283333,1.25926,1863,0.037037,0.62963,4,0.222222,0.255319,0.0,1.48148,2.07407
柏林赫塔,中锋,0.185185,6,23.0741,1.22222,1.81481,0.333333,1.14815,22,2.59259,12,2.77778,12.1111,0.333333,4,1.33333,1.7037,库尼亚,70.947,Brazil,0.1,0.666667,0,32408,5,25,巴西,0,2.51852,2,0.037037,71,0.636086,9,164034,7.329259,1.66667,0.652174,0.5,1.33333,2153,0.0740741,1.2963,7,0.259259,0.3,0.0,3.03704,2.66667
利物浦,左边锋,0.885714,11,28.8286,0.257143,1.74286,0.333333,0.428571,29,2.68571,27,2.22857,15.5714,0.5,7,1.37143,1.51429,萨迪奥·马内,78.6918,Senegal,0.117021,1.02857,0,6160,7,31,塞内加尔,0,1.74286,4,0.0285714,13,0.724771,3,162987,7.328285,0.828571,0.690476,0.382979,0.6,2812,0.0,1.02857,11,0.257143,0.15,0.0,2.34286,2.88571
泽尼特,中锋,0.333333,3,15.375,0.0833333,0.958333,0.419355,0.208333,26,3.54167,31,0.416667,8.79167,0.0,2,0.583333,0.5,阿兹蒙,71.8157,Iran,0.223529,1.45833,0,4471,4,21,伊朗,0,1.0,3,0.0,151,0.630332,4,160584,7.327084,0.25,0.75,0.505882,0.208333,1739,0.0,1.79167,19,0.375,0.142857,0.0416667,0.5,1.54167
塞尔塔,中锋,0.393939,16,37.0909,0.212121,1.87879,0.65,0.484848,33,1.51515,20,1.60606,17.5152,0.777778,13,0.333333,0.727273,阿斯帕斯,78.8399,Spain,0.28,0.515152,0,594,8,33,西班牙,0,0.818182,0,0.212121,36,0.719723,9,162656,7.324546,1.48485,0.803279,0.54,0.636364,2871,0.0606061,0.818182,14,0.606061,0.25,0.030303,1.81818,1.69697
莫斯科中央陆军,前腰,0.461538,7,42.7308,0.884615,2.80769,0.428571,0.307692,23,3.96154,7,1.53846,25.8462,0.0,5,0.692308,1.15385,弗拉西奇,80.9181,Croatia,0.106796,0.5,0,22473,5,26,克罗地亚,0,2.0,0,0.0,159,0.776786,3,160905,7.322692,0.961538,0.609756,0.398058,0.576923,2260,0.0384615,1.57692,11,0.115385,0.219048,0.0,1.65385,2.73077
里昂,左边锋,0.428571,14,25.8571,0.257143,1.4,0.407407,0.742857,28,2.57143,27,0.771429,11.0857,0.6,6,0.457143,0.771429,艾卡毕,80.3315,Cameroon,0.155556,1.02857,0,9560,6,34,喀麦隆,0,0.742857,1,0.0857143,106,0.729381,3,161242,7.318286,0.685714,0.521739,0.433333,0.685714,2830,0.0285714,1.11429,14,0.228571,0.169811,0.0,1.74286,2.08571
特拉布宗体育,影子前锋,0.09375,10,32.3438,0.15625,1.4375,0.466667,0.6875,27,2.21875,15,1.78125,14.2188,0.0,4,1.28125,1.25,埃库班,78.0676,Ghana,0.140845,1.4375,0,23155,7,32,加纳,0,1.9375,0,0.0,283,0.668132,3,163642,7.316875,0.9375,0.555556,0.450704,0.625,2748,0.15625,1.0,10,0.53125,0.142857,0.03125,2.40625,3.15625
曼城,右边锋,0.259259,8,37.1852,0.666667,1.62963,0.285714,0.296296,30,2.14815,7,1.11111,18.7407,0.333333,6,0.740741,0.481481,马赫雷斯,88.4462,Algeria,0.155172,0.555556,0,263,4,23,阿尔及利亚,0,1.07407,4,0.037037,11,0.841897,0,165387,7.313704,0.851852,0.71875,0.37931,0.888889,1955,0.0,0.814815,9,0.148148,0.222222,0.0,1.66667,1.7037
沃尔夫斯堡,中锋,1.05882,10,23.1471,0.0294118,1.29412,0.470588,0.117647,28,2.73529,34,0.794118,10.3529,0.666667,8,0.382353,0.882353,维格霍斯特,66.0737,Netherlands,0.215054,2.82353,0,3914,6,33,荷兰,0,0.794118,1,0.0588235,67,0.582386,3,164643,7.311765,0.647059,0.846154,0.494624,0.470588,2949,0.0882353,1.35294,20,0.764706,0.333333,0.0294118,0.529412,2.14706
曼城,右后卫,0.0714286,8,66.2143,0.392857,1.60714,0.0,1.46429,27,1.25,1,0.642857,23.5,0.666667,3,2.42857,1.28571,坎塞洛,87.109,Portugal,0.0571429,1.07143,2,2087,2,27,葡萄牙,1,0.75,1,0.142857,11,0.782675,5,166402,7.310714,2.35714,0.578947,0.314286,1.42857,2302,0.0714286,0.392857,2,1.0,0.152778,0.321429,1.67857,1.28571
特拉布宗体育,左边锋,0.411765,8,41.2941,0.470588,1.23529,0.2,0.764706,32,3.08824,10,1.08824,17.2647,0.25,5,1.55882,1.0,恩瓦凯姆,79.0598,Nigeria,0.0666667,1.11765,0,18296,5,34,尼日利亚,1,2.73529,0,0.0294118,283,0.678024,3,163641,7.304706,2.61765,0.654412,0.266667,0.970588,2970,0.0294118,0.823529,7,1.02941,0.175824,0.0882353,2.85294,2.35294
罗马,前腰,0.294118,12,33.8529,0.352941,1.41176,0.473684,1.14706,32,2.41176,19,1.35294,14.8529,0.461538,10,1.73529,1.05882,姆希塔良,78.4535,Armenia,0.158537,0.411765,0,1816,4,30,亚美尼亚,0,0.676471,4,0.176471,76,0.691089,2,164389,7.302647,0.911765,0.584906,0.414634,1.47059,2746,0.0,1.0,13,0.235294,0.226415,0.0,1.41176,1.5
沃尔夫斯堡,中场,0.0,5,50.1333,1.43333,1.63333,1.0,1.63333,27,1.83333,1,2.06667,13.7333,0.666667,6,1.56667,1.3,阿诺尔德,84.375,Germany,0.0545455,1.36667,0,1843,5,30,德国,1,0.733333,0,0.0666667,67,0.720874,7,164640,7.302333,5.2,0.669528,0.272727,1.03333,2591,0.1,0.5,3,1.83333,0.309353,0.0333333,0.566667,0.966667
